ergro,Green Park,GP,51.50676,-0.142478,"[[linePiccadilly, 5], [lineVictoria,3], [lineJubilee,2]]"
nodeBondStreet,Bond Street,BS,51.513798,-0.149614,"[[lineCentral, 4], [lineJubilee,1]]"
nodeTottenhamCourtRoad,Tottenham Court Road,TCR,51.516211,-0.13111," [[lineCentral,6],[lineNorthern,4]]"
nodePiccadillyCircus,Piccadilly Circus,PC,51.509697,-0.133712,"[[linePiccadilly,6], [lineBakerloo,5]]"
nodeLeicesterSquare,Leicester Square,LS,51.511291,-0.128242,"[[linePiccadilly,7], [lineNorthern,3]]"
nodeCoventGarden,Covent Garden,CG,51.51276,-0.124507,"[[linePiccadilly,8]]"
nodeHolborn,Holborn,H,51.517236,-0.119841,"[[linePiccadilly,9],[lineCentral, 7]]"
nodeOxfordCircus,Oxford Circus,O,51.515223,-0.140836,"[[lineBakerloo, 4], [lineVictoria,4], [lineCentral,5]]"
nodeVauxhall,Vauxhall,V,51.486188,-0.12289,"[[lineVictoria, 0]]"
nodePimlico,Pimlico,P,51.489553,-0.133108,"[[lineVictoria, 1]]"
nodeVictoria,Victoria,VS,51.495256,-0.144559,"[[lineVictoria, 2],[lineDistrict, 9],[lineCircle, 8]]"
nodeWarrenStreet,Warren Street,WS,51.52458,-0.138278,"[[lineVictoria, 5], [lineNorthern, 6]]"
nodeEuston,Euston,E,51.528135,-0.133924,"[[lineVictoria, 6], [lineNorthern, 7]]"
nodeKingsCrossStPancras,King's Cross St Pancras,KCSP,51.530312,-0.123872,"[[lineVictoria, 7], [lineNorthern,8], [lineHammersmithAndCity,5], [lineMetropolitan, 3], [lineCircle, 22]]"
nodeWestminster,Westminster,W,51.501402,-0.125002,"[[lineJubilee,3],[lineDistrict, 11],[lineCircle, 10]]"
nodeWaterloo,Waterloo,WL,51.503297,-0.113109,"[[lineJubilee,4],[lineNorthern, 0],[lineBakerloo, 8]]"
nodeSouthwark,Southwark,S,51.503854,-0.105795,"[[lineJubilee,5]]"
nodeLondonBridge,London Bridge,LB,51.505017,-0.086092,"[[lineJubilee,6], [lineNorthern, 13]]"
nodeBakerStreet,Baker Street,BAS,51.52313,-0.156904,"[[lineJubilee,0], [lineHammersmithAndCity,2], [lineMetropolitan, 0], [lineCircle, 25]]"
nodeGoodgeStreet,Goodge Street,GS,51.520613,-0.134808,"[[lineNorthern,5]]"
nodeRussellSquare,Russell Square,RS,51.523013,-0.12459,"[[linePiccadilly,10]]"
nodeCharingCross,Charing Cross,CC,51.508026,-0.124802,"[[lineBakerloo, 6],[lineNorthern,2]]"
nodeEarlsCourt,Earl's Court,EC,51.491357,-0.194314,"[[linePiccadilly,0],[lineDistrict, 5]]"
